"","Sample","Plot","Fire","Burn","Infection","Otu10","Otu100","Otu1000","Otu10000","Otu10001","Otu10002","Otu10004","Otu10005","Otu10007","Otu10008","Otu10009","Otu1001","Otu10011","Otu10013","Otu10014","Otu10015","Otu10016","Otu10017","Otu10019","Otu1002","Otu10020","Otu10021","Otu10023","Otu10026","Otu10028","Otu10029","Otu1003","Otu10030","Otu10031","Otu10032","Otu10034","Otu10035","Otu10036","Otu10037","Otu1004","Otu10040","Otu10041","Otu10044","Otu10045","Otu10046","Otu10047","Otu10048","Otu1005","NMDS1","NMDS2","NMDS3"
"1","16SPOST60101","Plot601","Postfire","Burned","Infected",14,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.442041660733497,0.162448409789112,0.314813232451937
"2","16SPOST60102","Plot601","Postfire","Burned","Infected",16,25,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0113818268445421,-0.00533110954493419,0.4823692931205
"3","16SPOST60103","Plot601","Postfire","Burned","Infected",30,36,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.127623308857915,0.0352534997971119,0.11063176440627
"4","16SPOST60104","Plot601","Postfire","Burned","Infected",4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.900560055066641,0.363089959609197,0.369337159128132
"5","16SPOST60105","Plot601","Postfire","Burned","Infected",14,11,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.000419672273455835,-0.105934227694105,0.262574123678305
"6","16SPOST60106","Plot601","Postfire","Burned","Infected",21,22,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.153204469807619,-0.142209610684217,0.214606303543829
"7","16SPOST60107","Plot601","Postfire","Burned","Infected",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.71766853823019,0.355175838858735,-0.173018148375345
"8","16SPOST60108","Plot601","Postfire","Burned","Infected",22,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.267634275442067,0.334059479736685,0.28008392157554
"9","16SPOST60109","Plot601","Postfire","Burned","Infected",32,16,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0148527694307745,0.0441305184194054,0.208011733764269
"10","16SPOST60110","Plot601","Postfire","Burned","Infected",13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.991912980181314,0.476402847289832,0.663294522818352
"11","16SPOST60111","Plot601","Postfire","Burned","Infected",15,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.500708664563736,0.438266732608873,0.295883552717668
"12","16SPOST60112","Plot601","Postfire","Burned","Infected",20,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.393189347594007,0.428086922913468,0.309576835190622
"13","16SPOST60301","Plot603","Postfire","Burned","Infected",36,18,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.316386009088359,-0.303765841512854,-0.0473413948087391
"14","16SPOST60302","Plot603","Postfire","Burned","Infected",26,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.301053490664723,-0.483417860824064,-0.246165563557315
"15","16SPOST60303","Plot603","Postfire","Burned","Infected",1,49,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,6,0,-1.07954835127276,0.0833830267728465,-0.771265542719202
"16","16SPOST60304","Plot603","Postfire","Burned","Infected",38,37,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-0.251117954355289,0.121874219414282,-0.189833981412292
"17","16SPOST60305","Plot603","Postfire","Burned","Infected",4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.31752750381326,0.260328430382637,0.217203583812349
"18","16SPOST60306","Plot603","Postfire","Burned","Infected",4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-0.873861921580126,-0.357950904494408,0.661033343633787
"19","16SPOST60307","Plot603","Postfire","Burned","Infected",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.64616241882955,-1.67005624170362,-0.16406103586107
"20","16SPOST60308","Plot603","Postfire","Burned","Infected",0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.41246710161489,0.288570286508641,-0.271334220670307
"21","16SPOST60309","Plot603","Postfire","Burned","Infected",4,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.507779556713917,-0.334987620024873,0.0426195237322468
"22","16SPOST60310","Plot603","Postfire","Burned","Infected",1,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.187044629646081,-0.0510314722217385,-0.697313020338382
"23","16SPOST60311","Plot603","Postfire","Burned","Infected",0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1.66002002577783,-0.118039037209823,-0.162932627225801
"24","16SPOST60312","Plot603","Postfire","Burned","Infected",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,-1.36706530736409,0.638672398493699,-0.626980764052662
"25","16SPRE60101","Plot601","Prefire","Burned","Infected",92,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.604492570861353,-0.118969163238126,0.273329064096074
"26","16SPRE60102","Plot601","Prefire","Burned","Infected",41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.95463213791883,1.18117957124529,-0.501997434469085
"27","16SPRE60103","Plot601","Prefire","Burned","Infected",104,15,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.651496188015358,-0.109055043908241,0.139873161124894
"28","16SPRE60104","Plot601","Prefire","Burned","Infected",103,18,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0.635721813809453,-0.0725497685694264,0.207457259708841
"29","16SPRE60105","Plot601","Prefire","Burned","Infected",63,25,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.576990297575927,-0.151076666148035,0.181909971273469
"30","16SPRE60106","Plot601","Prefire","Burned","Infected",74,6,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.585855525374747,-0.222774639397749,0.0652977158315736
"31","16SPRE60107","Plot601","Prefire","Burned","Infected",104,13,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.662957687211533,-0.0646145710664598,0.296888422307248
"32","16SPRE60108","Plot601","Prefire","Burned","Infected",99,9,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0.731446635805624,0.0479925355244544,0.285628588409821
"33","16SPRE60109","Plot601","Prefire","Burned","Infected",78,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0.845613537905254,0.155038987142126,0.367452743333554
"34","16SPRE60110","Plot601","Prefire","Burned","Infected",102,28,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.651215765427568,0.0122389072682711,0.273716135248303
"35","16SPRE60111","Plot601","Prefire","Burned","Infected",95,18,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.58099296924128,-0.0551214969946232,0.148772669115543
"36","16SPRE60112","Plot601","Prefire","Burned","Infected",131,12,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.707101110796556,0.124804634734223,0.0385513676555923
"37","16SPRE60301","Plot603","Prefire","Burned","Infected",92,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.556492189776051,-0.149516658248923,-0.180453903919234
"38","16SPRE60302","Plot603","Prefire","Burned","Infected",93,15,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0.534109964270185,-0.226854579575985,-0.170515860016533
"39","16SPRE60303","Plot603","Prefire","Burned","Infected",87,20,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0.554015693728171,0.0456771271942112,-0.342026531410684
"40","16SPRE60304","Plot603","Prefire","Burned","Infected",147,25,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.798204416974271,0.195412196856719,-0.267274824524484
"41","16SPRE60305","Plot603","Prefire","Burned","Infected",164,13,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.645103820813789,-0.0141040560546705,-0.246829578261663
"42","16SPRE60306","Plot603","Prefire","Burned","Infected",55,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.459898043881644,-0.391403034265099,-0.287407373532896
"43","16SPRE60307","Plot603","Prefire","Burned","Infected",108,11,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,5,0.746285430675272,0.259036300164167,-0.270323163805902
"44","16SPRE60308","Plot603","Prefire","Burned","Infected",86,30,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0.574022298965184,-0.14456619282832,-0.227347909159986
"45","16SPRE60309","Plot603","Prefire","Burned","Infected",131,24,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.587105993852003,-0.0781647554187465,-0.215102770517216
"46","16SPRE60310","Plot603","Prefire","Burned","Infected",94,10,3,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.597799201583113,-0.235258180065851,-0.203527446457353
"47","16SPRE60311","Plot603","Prefire","Burned","Infected",124,24,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0.642237025319219,-0.0192968136819701,-0.332050691645693
"48","16SPRE60312","Plot603","Prefire","Burned","Infected",116,6,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625322600783556,-0.425073285347131,-0.115812204936876
